,City,Country,Lat,Lng,Date,Cloudiness,Humidity,Max Temp,Wind Speed
0,hithadhoo,MV,-0.6,73.08,1551567394.0,64.0,100.0,82.43,12.77
1,saint-philippe,CA,45.36,-73.48,1551567317.0,90.0,68.0,28.0,7.29
2,geraldton,CA,49.72,-86.95,1551564000.0,75.0,43.0,10.4,8.05
4,tuktoyaktuk,CA,69.44,-133.03,1551564000.0,20.0,64.0,-2.21,17.22
5,albany,US,42.65,-73.75,1551567362.0,90.0,47.0,37.4,2.37
7,itambacuri,BR,-18.04,-41.68,1551567759.0,12.0,68.0,78.11,11.54
8,upernavik,GL,72.79,-56.15,1551567133.0,20.0,100.0,0.35,0.13
9,siva,GR,35.21,25.04,1551567729.0,75.0,76.0,55.99,10.29
10,bredasdorp,ZA,-34.53,20.04,1551566773.0,56.0,82.0,66.2,2.24
11,bandarbeyla,SO,9.49,50.81,1551567430.0,0.0,100.0,77.16,4.16
13,perundurai,IN,11.28,77.58,1551564000.0,40.0,69.0,77.0,9.17
14,chokurdakh,RU,70.62,147.9,1551567410.0,64.0,75.0,-11.72,16.24
15,dikson,RU,73.51,80.55,1551567248.0,32.0,76.0,-7.71,5.95
16,xique-xique,BR,-10.82,-42.73,1551567611.0,48.0,100.0,71.0,1.14
17,houma,CN,35.63,111.36,1551567760.0,0.0,92.0,26.09,1.59
18,chuy,UY,-33.69,-53.46,1551567113.0,0.0,78.0,67.85,15.01
19,mataura,NZ,-46.19,168.86,1551567006.0,0.0,72.0,62.01,8.99
20,vaini,IN,15.34,74.49,1551567128.0,0.0,85.0,56.96,2.26
21,marovoay,MG,-16.11,46.64,1551564000.0,40.0,94.0,80.6,2.24
22,viedma,AR,-40.81,-62.99,1551567568.0,12.0,45.0,68.03,7.4
23,ushuaia,AR,-54.81,-68.31,1551564000.0,40.0,66.0,53.6,16.11
24,turan,RU,52.15,93.92,1551567761.0,36.0,77.0,3.86,2.04
25,butaritari,KI,3.07,172.79,1551567105.0,68.0,100.0,82.43,15.68
